date,temp_mean,temp_max,temp_min,cloud_mean,cloud_max,humidity_mean,pressure_mean,wind_mean,wind_max,precip_sum,label
2020-01-01,23.65416666666667,24.7,22.6,80.375,100,87.41666666666667,1020.6166666666667,17.775000000000002,22.0,4.6000000000000005,rain
2020-01-02,23.558333333333334,24.5,22.7,77.75,100,85.83333333333333,1020.8333333333334,15.908333333333333,20.5,5.5,rain
2020-01-03,23.666666666666668,25.2,22.4,74.54166666666667,100,83.04166666666667,1019.4666666666667,13.4375,20.5,3.2,rain
2020-01-04,22.90833333333333,25.0,20.9,95.0,100,84.83333333333333,1017.75,8.616666666666667,17.3,4.0,rain
2020-01-05,22.78333333333333,24.7,20.7,53.166666666666664,100,86.45833333333333,1016.9208333333332,8.700000000000001,16.9,4.1,rain
2020-01-06,22.8625,25.1,20.7,39.875,100,88.125,1016.1791666666667,7.341666666666666,13.6,1.0,rain
2020-01-07,23.558333333333334,25.0,21.6,37.875,87,88.08333333333333,1015.2624999999999,7.679166666666667,14.1,0.7000000000000001,rain
2020-01-08,23.495833333333334,25.4,21.1,91.5,100,87.95833333333333,1015.9625,7.6000000000000005,14.3,3.1,rain
2020-01-09,23.391666666666666,24.8,21.5,59.5,100,86.45833333333333,1014.9041666666667,7.5,13.9,3.4,rain
2020-01-10,22.616666666666664,24.5,19.4,47.708333333333336,92,87.91666666666667,1013.4541666666668,7.304166666666667,13.6,0.9,rain
2020-01-11,23.354166666666668,25.0,22.1,93.45833333333333,100,88.70833333333333,1012.8833333333333,6.779166666666666,11.6,5.3,rain
2020-01-12,22.787499999999998,24.7,20.0,71.04166666666667,99,87.375,1014.0291666666667,7.845833333333334,12.8,3.0,rain
2020-01-13,22.704166666666666,24.5,21.1,55.083333333333336,94,85.83333333333333,1014.5583333333334,10.566666666666666,17.9,4.5,rain
2020-01-14,22.462500000000002,24.8,19.8,54.041666666666664,100,81.45833333333333,1015.3083333333334,11.466666666666667,19.8,0.2,cloudy
2020-01-15,23.0,25.3,20.6,24.25,99,79.375,1014.5958333333333,12.5875,19.5,0.0,cloudy
2020-01-16,22.766666666666666,24.8,19.4,14.625,57,87.33333333333333,1014.6583333333333,9.616666666666667,16.7,0.0,sunny
2020-01-17,23.349999999999998,25.1,21.4,27.166666666666668,99,85.83333333333333,1016.6291666666666,8.254166666666666,13.1,0.6000000000000001,rain
2020-01-18,22.825,25.2,20.4,29.75,81,85.25,1016.3083333333334,8.395833333333334,14.0,1.5,rain
2020-01-19,22.474999999999998,24.8,20.2,46.958333333333336,100,83.83333333333333,1017.275,8.1,16.3,1.1,rain
2020-01-20,22.349999999999998,24.5,19.3,40.041666666666664,100,80.70833333333333,1018.2958333333332,10.445833333333333,17.2,0.5,rain
2020-01-21,22.495833333333334,24.7,20.2,55.416666666666664,88,81.54166666666667,1018.5958333333333,7.758333333333333,15.5,0.0,cloudy
2020-01-22,23.0625,25.8,20.8,53.0,100,81.95833333333333,1016.5083333333333,10.779166666666667,18.7,0.0,cloudy
2020-01-23,23.55,26.1,20.6,55.958333333333336,90,85.41666666666667,1014.3874999999999,14.725,24.6,0.0,cloudy
2020-01-24,23.912499999999998,26.5,21.5,86.16666666666667,98,87.0,1013.9499999999999,15.575000000000001,26.2,0.0,cloudy
2020-01-25,24.175,26.5,21.6,95.5,100,85.25,1011.7166666666667,15.033333333333333,23.5,0.2,cloudy
2020-01-26,22.3,23.8,20.4,96.16666666666667,100,82.25,1013.0916666666667,24.166666666666668,38.2,0.5,rain
2020-01-27,21.416666666666668,23.6,19.6,97.375,100,78.95833333333333,1013.1458333333334,12.674999999999999,23.0,0.0,cloudy
2020-01-28,21.270833333333332,22.4,20.3,98.66666666666667,100,84.0,1014.5500000000001,7.9375,15.8,15.4,rain
2020-01-29,20.795833333333334,21.4,19.8,100.0,100,88.54166666666667,1017.2291666666666,17.141666666666666,23.8,41.0,rain
2020-01-30,19.729166666666668,20.6,18.5,97.45833333333333,100,82.04166666666667,1018.5916666666667,18.599999999999998,25.3,12.2,rain
2020-01-31,20.45,22.7,17.5,85.5,100,79.79166666666667,1018.5,8.104166666666666,14.7,0.30000000000000004,rain
2020-02-01,21.65833333333333,24.0,19.8,74.08333333333333,100,76.66666666666667,1017.9250000000001,10.866666666666667,18.8,0.30000000000000004,rain
2020-02-02,21.579166666666666,24.3,19.2,18.958333333333332,48,81.45833333333333,1018.0708333333333,8.975,16.3,0.0,sunny
2020-02-03,21.825,24.3,19.1,37.541666666666664,78,85.58333333333333,1016.8083333333334,10.058333333333334,17.9,0.0,cloudy
